rule_id,rule_label,rule_family,antecedent_count,antecedent_text,consequent_text,full_rule_text
1,r01_dist_short,Family 1: Distance baseline,1,haversine_km[short],[predicted_duration[very_short]],IF haversine_km[short] THEN [predicted_duration[very_short]]
2,r02_dist_medium_short,Family 1: Distance baseline,1,haversine_km[medium_short],[predicted_duration[short]],IF haversine_km[medium_short] THEN [predicted_duration[short]]
3,r03_dist_medium,Family 1: Distance baseline,1,haversine_km[medium],[predicted_duration[medium]],IF haversine_km[medium] THEN [predicted_duration[medium]]
4,r04_dist_long,Family 1: Distance baseline,1,haversine_km[long],[predicted_duration[long]],IF haversine_km[long] THEN [predicted_duration[long]]
5,r05_short_morning_rush,Family 2: Distance + rush-hour traffic,2,haversine_km[short] AND pickup_hour[morning_rush],[predicted_duration[short]],IF haversine_km[short] AND pickup_hour[morning_rush] THEN [predicted_duration[short]]
6,r06_mshort_morning_rush,Family 2: Distance + rush-hour traffic,2,haversine_km[medium_short] AND pickup_hour[morning_rush],[predicted_duration[medium]],IF haversine_km[medium_short] AND pickup_hour[morning_rush] THEN [predicted_duration[medium]]
7,r07_medium_morning_rush,Family 2: Distance + rush-hour traffic,2,haversine_km[medium] AND pickup_hour[morning_rush],[predicted_duration[medium]],IF haversine_km[medium] AND pickup_hour[morning_rush] THEN [predicted_duration[medium]]
8,r08_long_morning_rush,Family 2: Distance + rush-hour traffic,2,haversine_km[long] AND pickup_hour[morning_rush],[predicted_duration[long]],IF haversine_km[long] AND pickup_hour[morning_rush] THEN [predicted_duration[long]]
9,r09_short_evening_rush,Family 2: Distance + rush-hour traffic,2,haversine_km[short] AND pickup_hour[evening_rush],[predicted_duration[short]],IF haversine_km[short] AND pickup_hour[evening_rush] THEN [predicted_duration[short]]
10,r10_mshort_evening_rush,Family 2: Distance + rush-hour traffic,2,haversine_km[medium_short] AND pickup_hour[evening_rush],[predicted_duration[medium]],IF haversine_km[medium_short] AND pickup_hour[evening_rush] THEN [predicted_duration[medium]]
11,r11_medium_evening_rush,Family 2: Distance + rush-hour traffic,2,haversine_km[medium] AND pickup_hour[evening_rush],[predicted_duration[medium]],IF haversine_km[medium] AND pickup_hour[evening_rush] THEN [predicted_duration[medium]]
12,r12_long_evening_rush,Family 2: Distance + rush-hour traffic,2,haversine_km[long] AND pickup_hour[evening_rush],[predicted_duration[long]],IF haversine_km[long] AND pickup_hour[evening_rush] THEN [predicted_duration[long]]
13,r13_short_night,Family 3: Night / early-morning relief,2,haversine_km[short] AND pickup_hour[night],[predicted_duration[very_short]],IF haversine_km[short] AND pickup_hour[night] THEN [predicted_duration[very_short]]
14,r14_mshort_night,Family 3: Night / early-morning relief,2,haversine_km[medium_short] AND pickup_hour[night],[predicted_duration[very_short]],IF haversine_km[medium_short] AND pickup_hour[night] THEN [predicted_duration[very_short]]
15,r15_medium_night,Family 3: Night / early-morning relief,2,haversine_km[medium] AND pickup_hour[night],[predicted_duration[short]],IF haversine_km[medium] AND pickup_hour[night] THEN [predicted_duration[short]]
16,r16_long_night,Family 3: Night / early-morning relief,2,haversine_km[long] AND pickup_hour[night],[predicted_duration[medium]],IF haversine_km[long] AND pickup_hour[night] THEN [predicted_duration[medium]]
17,r17_mshort_early,Family 3: Night / early-morning relief,2,haversine_km[medium_short] AND pickup_hour[early_morning],[predicted_duration[very_short]],IF haversine_km[medium_short] AND pickup_hour[early_morning] THEN [predicted_duration[very_short]]
18,r18_long_early,Family 3: Night / early-morning relief,2,haversine_km[long] AND pickup_hour[early_morning],[predicted_duration[medium]],IF haversine_km[long] AND pickup_hour[early_morning] THEN [predicted_duration[medium]]
19,r19_short_midday,Family 4: Midday baseline,2,haversine_km[short] AND pickup_hour[midday],[predicted_duration[very_short]],IF haversine_km[short] AND pickup_hour[midday] THEN [predicted_duration[very_short]]
20,r20_mshort_midday,Family 4: Midday baseline,2,haversine_km[medium_short] AND pickup_hour[midday],[predicted_duration[short]],IF haversine_km[medium_short] AND pickup_hour[midday] THEN [predicted_duration[short]]
21,r21_medium_midday,Family 4: Midday baseline,2,haversine_km[medium] AND pickup_hour[midday],[predicted_duration[medium]],IF haversine_km[medium] AND pickup_hour[midday] THEN [predicted_duration[medium]]
22,r22_long_midday,Family 4: Midday baseline,2,haversine_km[long] AND pickup_hour[midday],[predicted_duration[long]],IF haversine_km[long] AND pickup_hour[midday] THEN [predicted_duration[long]]
23,r23_medium_weekend,Family 5: Weekend relief,2,haversine_km[medium] AND pickup_dow[weekend],[predicted_duration[short]],IF haversine_km[medium] AND pickup_dow[weekend] THEN [predicted_duration[short]]
24,r24_long_weekend,Family 5: Weekend relief,2,haversine_km[long] AND pickup_dow[weekend],[predicted_duration[medium]],IF haversine_km[long] AND pickup_dow[weekend] THEN [predicted_duration[medium]]
25,r25_long_weekday_morning_rush,Family 8: 3-antecedent extremes,3,(haversine_km[long] AND pickup_dow[weekday]) AND pickup_hour[morning_rush],[predicted_duration[very_long]],IF (haversine_km[long] AND pickup_dow[weekday]) AND pickup_hour[morning_rush] THEN [predicted_duration[very_long]]
26,r26_long_weekday_evening_rush,Family 8: 3-antecedent extremes,3,(haversine_km[long] AND pickup_dow[weekday]) AND pickup_hour[evening_rush],[predicted_duration[very_long]],IF (haversine_km[long] AND pickup_dow[weekday]) AND pickup_hour[evening_rush] THEN [predicted_duration[very_long]]
27,r27_medium_weekday_morning_rush,Family 8: 3-antecedent extremes,3,(haversine_km[medium] AND pickup_dow[weekday]) AND pickup_hour[morning_rush],[predicted_duration[long]],IF (haversine_km[medium] AND pickup_dow[weekday]) AND pickup_hour[morning_rush] THEN [predicted_duration[long]]
28,r28_medium_weekday_evening_rush,Family 8: 3-antecedent extremes,3,(haversine_km[medium] AND pickup_dow[weekday]) AND pickup_hour[evening_rush],[predicted_duration[long]],IF (haversine_km[medium] AND pickup_dow[weekday]) AND pickup_hour[evening_rush] THEN [predicted_duration[long]]
