trial,hidden,lr,dropout,weight_decay,epoch,rmse_log,mae_log,r2_log
1,"(128, 64)",0.001,0.0,0.0001,15,0.5652984917510551,0.4051719071502529,0.5005283598237229
2,"(128, 64)",0.001,0.1,0.0001,15,0.5975051755520981,0.4344461584442662,0.44199444342102
3,"(128, 64)",0.0005,0.0,0.0001,15,0.6071361319515244,0.44283188586646194,0.42386091369253576
4,"(128, 64)",0.0005,0.1,0.0001,15,0.7232411600127382,0.5459344114049631,0.1824365853630443
5,"(256, 128)",0.001,0.0,0.0001,15,0.517238687882326,0.3601519906850233,0.5818451066610444
6,"(256, 128)",0.001,0.1,0.0001,15,0.5252184071516652,0.3668788649611028,0.5688433814481074
7,"(256, 128)",0.0005,0.0,0.0001,15,0.5678008259557904,0.4045506125609265,0.4960966790325626
8,"(256, 128)",0.0005,0.1,0.0001,15,0.5867164331623554,0.4221230062896148,0.4619635661179775
9,"(256, 128, 64)",0.001,0.0,0.0001,15,0.503798494198854,0.3494053698876185,0.6032938704089186
10,"(256, 128, 64)",0.001,0.1,0.0001,14,0.5158251385174495,0.3607942240493576,0.5841275148409735
11,"(256, 128, 64)",0.0005,0.0,0.0001,15,0.5243095352638746,0.36682674287210637,0.5703342929213635
12,"(256, 128, 64)",0.0005,0.1,0.0001,15,0.5377298276209568,0.38006829018914134,0.5480572382272997
